quant,bits,group,rb,rc,rdt,layer_mode,ppl
fake,8,64,16,16,48,early,25.1283
fake,8,64,16,16,48,mid,25.1307
fake,8,64,16,16,48,late,25.1316
fake,8,64,16,16,48,all,25.1283
fake,8,64,16,16,36,early,25.3471
fake,8,64,16,16,36,mid,25.6555
fake,8,64,16,16,36,late,96.6135
fake,8,64,16,16,36,all,87.9776
fake,8,64,16,16,24,early,25.6888
fake,8,64,16,16,24,mid,26.4428
fake,8,64,16,16,24,late,145.4632
fake,8,64,16,16,24,all,106.0202
fake,8,64,16,16,12,early,26.2708
fake,8,64,16,16,12,mid,28.0177
fake,8,64,16,16,12,late,216.1590
fake,8,64,16,16,12,all,138.1237
fake,8,64,16,16,6,early,27.0182
fake,8,64,16,16,6,mid,29.8027
fake,8,64,16,16,6,late,247.8330
fake,8,64,16,16,6,all,165.4905
fake,8,64,16,8,48,early,29.1647
fake,8,64,16,8,48,mid,32.0872
fake,8,64,16,8,48,late,44.2506
fake,8,64,16,8,48,all,176.3865
fake,8,64,16,8,36,early,29.8364
fake,8,64,16,8,36,mid,33.0660
fake,8,64,16,8,36,late,89.8229
fake,8,64,16,8,36,all,214.7171
fake,8,64,16,8,24,early,30.7454
fake,8,64,16,8,24,mid,34.4039
fake,8,64,16,8,24,late,131.2816
fake,8,64,16,8,24,all,259.0279
fake,8,64,16,8,12,early,31.9409
fake,8,64,16,8,12,mid,36.4013
fake,8,64,16,8,12,late,199.5186
fake,8,64,16,8,12,all,364.8831
fake,8,64,16,8,6,early,33.1862
fake,8,64,16,8,6,mid,37.7143
fake,8,64,16,8,6,late,228.9282
fake,8,64,16,8,6,all,449.6281
fake,8,64,16,4,48,early,31.9822
fake,8,64,16,4,48,mid,38.6869
fake,8,64,16,4,48,late,768.5093
fake,8,64,16,4,48,all,4830.4160
fake,8,64,16,4,36,early,32.8445
fake,8,64,16,4,36,mid,39.7088
fake,8,64,16,4,36,late,693.8547
fake,8,64,16,4,36,all,4144.2271
fake,8,64,16,4,24,early,33.9746
fake,8,64,16,4,24,mid,40.8479
fake,8,64,16,4,24,late,800.2171
fake,8,64,16,4,24,all,5570.1079
fake,8,64,16,4,12,early,35.3675
fake,8,64,16,4,12,mid,42.4362
fake,8,64,16,4,12,late,934.9221
fake,8,64,16,4,12,all,7202.5317
fake,8,64,16,4,6,early,36.8423
fake,8,64,16,4,6,mid,43.5425
fake,8,64,16,4,6,late,946.5956
fake,8,64,16,4,6,all,8001.9541
fake,8,64,8,16,48,early,25.8731
fake,8,64,8,16,48,mid,27.3097
fake,8,64,8,16,48,late,38.0233
fake,8,64,8,16,48,all,81.9593
fake,8,64,8,16,36,early,26.2225
fake,8,64,8,16,36,mid,28.1210
fake,8,64,8,16,36,late,103.2248
fake,8,64,8,16,36,all,128.2863
fake,8,64,8,16,24,early,26.6932
fake,8,64,8,16,24,mid,29.1253
fake,8,64,8,16,24,late,155.7416
fake,8,64,8,16,24,all,166.1065
fake,8,64,8,16,12,early,27.4318
fake,8,64,8,16,12,mid,30.8551
fake,8,64,8,16,12,late,225.9013
fake,8,64,8,16,12,all,242.9369
fake,8,64,8,16,6,early,28.2783
fake,8,64,8,16,6,mid,32.4517
fake,8,64,8,16,6,late,249.3320
fake,8,64,8,16,6,all,324.2115
fake,8,64,8,8,48,early,31.5141
fake,8,64,8,8,48,mid,34.7978
fake,8,64,8,8,48,late,173.3910
fake,8,64,8,8,48,all,11494.4971
fake,8,64,8,8,36,early,32.3775
fake,8,64,8,8,36,mid,35.7805
fake,8,64,8,8,36,late,215.8113
fake,8,64,8,8,36,all,10899.3477
fake,8,64,8,8,24,early,33.4908
fake,8,64,8,8,24,mid,36.9859
fake,8,64,8,8,24,late,292.8858
fake,8,64,8,8,24,all,12907.8936
fake,8,64,8,8,12,early,34.8271
fake,8,64,8,8,12,mid,38.7728
fake,8,64,8,8,12,late,404.4819
fake,8,64,8,8,12,all,17349.2051
fake,8,64,8,8,6,early,36.2790
fake,8,64,8,8,6,mid,39.9561
fake,8,64,8,8,6,late,453.3439
fake,8,64,8,8,6,all,24693.9395
fake,8,64,8,4,48,early,33.3389
fake,8,64,8,4,48,mid,40.9737
fake,8,64,8,4,48,late,3198.8362
fake,8,64,8,4,48,all,50479.3672
fake,8,64,8,4,36,early,34.2920
fake,8,64,8,4,36,mid,41.9185
fake,8,64,8,4,36,late,1602.9431
fake,8,64,8,4,36,all,29942.3672
fake,8,64,8,4,24,early,35.5028
fake,8,64,8,4,24,mid,42.9828
fake,8,64,8,4,24,late,1804.1428
fake,8,64,8,4,24,all,41788.0469
fake,8,64,8,4,12,early,36.9369
fake,8,64,8,4,12,mid,44.4280
fake,8,64,8,4,12,late,2001.0676
fake,8,64,8,4,12,all,54629.3281
fake,8,64,8,4,6,early,38.4688
fake,8,64,8,4,6,mid,45.4427
fake,8,64,8,4,6,late,1929.3677
fake,8,64,8,4,6,all,58344.2656
fake,8,64,4,16,48,early,26.4619
fake,8,64,4,16,48,mid,30.6702
fake,8,64,4,16,48,late,100.4531
fake,8,64,4,16,48,all,471.7003
fake,8,64,4,16,36,early,26.8494
fake,8,64,4,16,36,mid,31.5573
fake,8,64,4,16,36,late,148.1224
fake,8,64,4,16,36,all,520.9318
fake,8,64,4,16,24,early,27.3942
fake,8,64,4,16,24,mid,32.6880
fake,8,64,4,16,24,late,196.9138
fake,8,64,4,16,24,all,631.4847
fake,8,64,4,16,12,early,28.2226
fake,8,64,4,16,12,mid,34.3931
fake,8,64,4,16,12,late,251.0769
fake,8,64,4,16,12,all,815.0966
fake,8,64,4,16,6,early,29.1890
fake,8,64,4,16,6,mid,35.9960
fake,8,64,4,16,6,late,262.9713
fake,8,64,4,16,6,all,958.0145
fake,8,64,4,8,48,early,33.1199
fake,8,64,4,8,48,mid,39.4108
fake,8,64,4,8,48,late,958.1653
fake,8,64,4,8,48,all,288512.4688
fake,8,64,4,8,36,early,34.0244
fake,8,64,4,8,36,mid,40.3139
fake,8,64,4,8,36,late,617.3196
fake,8,64,4,8,36,all,146671.8750
fake,8,64,4,8,24,early,35.2335
fake,8,64,4,8,24,mid,41.2928
fake,8,64,4,8,24,late,696.5361
fake,8,64,4,8,24,all,150149.9531
fake,8,64,4,8,12,early,36.5782
fake,8,64,4,8,12,mid,42.7209
fake,8,64,4,8,12,late,784.7935
fake,8,64,4,8,12,all,146421.1406
fake,8,64,4,8,6,early,38.0961
fake,8,64,4,8,6,mid,43.9300
fake,8,64,4,8,6,late,788.3859
fake,8,64,4,8,6,all,152669.3125
