in_mode,out_mode,in_rank_x,out_rank,quant_type,quant_group,ppl,delta_ppl,svd_in_sec,svd_outW_sec,quant_in_sec,quant_outW_sec,eval_sec,tok_per_s,peak_vram_gb
BASE,BASE,DENSE,DENSE,none,0,8.994029,0.000000,0.00,0.00,0.00,0.00,18.66,"10,645",8.00
early_mid,mid,DENSE,DENSE,none,0,8.994029,0.000000,0.00,0.00,0.00,0.00,18.64,"10,660",8.00
early_mid,mid,DENSE,DENSE,int8,0,8.994029,0.000000,0.00,0.00,0.00,0.00,18.64,"10,659",8.00
early_mid,mid,DENSE,DENSE,int8,32,8.994029,0.000000,0.00,0.00,0.00,0.00,18.73,"10,607",8.00
early_mid,mid,DENSE,DENSE,int8,64,8.994029,0.000000,0.00,0.00,0.00,0.00,18.74,"10,603",8.00
early_mid,mid,DENSE,DENSE,int8,128,8.994029,0.000000,0.00,0.00,0.00,0.00,18.75,"10,597",8.00
early_mid,mid,DENSE,DENSE,int4,0,8.994029,0.000000,0.00,0.00,0.00,0.00,18.74,"10,598",8.00
early_mid,mid,DENSE,DENSE,int4,32,8.994029,0.000000,0.00,0.00,0.00,0.00,18.74,"10,601",8.00
early_mid,mid,DENSE,DENSE,int4,64,8.994029,0.000000,0.00,0.00,0.00,0.00,18.75,"10,597",8.00
early_mid,mid,DENSE,DENSE,int4,128,8.994029,0.000000,0.00,0.00,0.00,0.00,18.74,"10,599",8.00
early_mid,mid,DENSE,1792,none,0,9.436865,0.442837,0.00,11.31,0.00,0.00,18.96,"10,476",8.54
early_mid,mid,DENSE,1792,int8,0,9.461028,0.466999,0.00,11.20,0.00,0.04,18.97,"10,473",8.54
early_mid,mid,DENSE,1792,int8,32,9.436485,0.442457,0.00,11.20,0.00,0.02,18.88,"10,525",8.54
early_mid,mid,DENSE,1792,int8,64,9.437626,0.443597,0.00,11.20,0.00,0.02,18.88,"10,523",8.54
early_mid,mid,DENSE,1792,int8,128,9.438006,0.443977,0.00,11.20,0.00,0.02,18.87,"10,525",8.54
early_mid,mid,DENSE,1792,int4,0,9.897320,0.903291,0.00,11.20,0.00,0.02,18.88,"10,524",8.54
early_mid,mid,DENSE,1792,int4,32,9.559261,0.565233,0.00,11.20,0.00,0.02,18.87,"10,525",8.54
early_mid,mid,DENSE,1792,int4,64,9.596096,0.602067,0.00,11.20,0.00,0.02,18.88,"10,524",8.54
early_mid,mid,DENSE,1792,int4,128,9.639281,0.645252,0.00,11.20,0.00,0.02,18.88,"10,523",8.54
early_mid,mid,DENSE,1536,none,0,9.809034,0.815005,0.00,11.20,0.00,0.00,18.67,"10,640",8.47
early_mid,mid,DENSE,1536,int8,0,9.834150,0.840121,0.00,11.19,0.00,0.02,18.68,"10,636",8.47
early_mid,mid,DENSE,1536,int8,32,9.810219,0.816190,0.00,11.19,0.00,0.02,18.67,"10,640",8.47
early_mid,mid,DENSE,1536,int8,64,9.809034,0.815005,0.00,11.19,0.00,0.02,18.67,"10,638",8.47
early_mid,mid,DENSE,1536,int8,128,9.809824,0.815795,0.00,11.19,0.00,0.02,18.67,"10,640",8.47
early_mid,mid,DENSE,1536,int4,0,10.316481,1.322453,0.00,11.19,0.00,0.02,18.68,"10,635",8.47
